timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1753343780454,34,Grow-8,200,OK,Thread Group 1-3,text,true,,131489,215,2,2,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/framework-50ddb49401837722.js,26,0,0
1753343780488,28,Grow-9,200,OK,Thread Group 1-3,text,true,,124135,210,2,2,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/main-aa1fae99272e9e9d.js,23,0,0
1753343780516,517,Grow-10,200,OK,Thread Group 1-3,text,true,,1766177,216,2,2,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/pages/_app-4d7d57d57fc8f097.js,44,0,0
1753343781033,24,Grow-11,200,OK,Thread Group 1-3,text,true,,10856,211,2,2,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/20701-7d08e678c1705c79.js,24,0,0
1753343781057,20,Grow-12,200,OK,Thread Group 1-3,text,true,,16594,211,2,2,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/35875-772c082c5d51eab9.js,20,0,0
1753343781077,26,Grow-13,200,OK,Thread Group 1-3,text,true,,12090,211,2,2,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/88202-0c5a94d85fb0329a.js,26,0,0
1753343781103,23,Grow-14,200,OK,Thread Group 1-3,text,true,,30279,211,2,2,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/43405-5d26728c5a045ad9.js,20,0,0
1753343781126,25,Grow-15,200,OK,Thread Group 1-3,text,true,,26216,211,2,2,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/99258-45bc5314186e4d6c.js,23,0,0
1753343781151,23,Grow-16,200,OK,Thread Group 1-3,text,true,,22326,211,2,2,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/32379-8ab2fabbae01d0f0.js,23,0,0
1753343781175,20,Grow-17,200,OK,Thread Group 1-3,text,true,,9208,211,2,2,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/55296-fd788e2d412e42b0.js,20,0,0
1753343781195,24,Grow-18,200,OK,Thread Group 1-3,text,true,,22025,211,2,2,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/12291-5916dc0cfbf1471d.js,23,0,0
1753343781219,19,Grow-19,200,OK,Thread Group 1-3,text,true,,16573,211,2,2,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/27507-0b5a66d7e53a4c75.js,19,0,0
1753343781238,26,Grow-20,200,OK,Thread Group 1-3,text,true,,20165,211,2,2,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/97662-b91185110b7e01a5.js,25,0,0
1753343781264,22,Grow-21,200,OK,Thread Group 1-3,text,true,,16977,211,2,2,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/14890-fc26e0b8dfc8a981.js,22,0,0
1753343781286,27,Grow-22,200,OK,Thread Group 1-3,text,true,,28046,211,2,2,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/66386-1758c3cc279595ff.js,24,0,0
1753343781314,30,Grow-23,200,OK,Thread Group 1-3,text,true,,56709,211,2,2,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/13627-54f4d5b6352a1d68.js,24,0,0
1753343781344,28,Grow-24,200,OK,Thread Group 1-3,text,true,,9021,211,2,2,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/33323-4738de01da84580b.js,28,0,0
1753343781372,23,Grow-25,200,OK,Thread Group 1-3,text,true,,17425,211,2,2,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/41290-7496bf97c02f98cf.js,23,0,0
1753343781395,25,Grow-26,200,OK,Thread Group 1-3,text,true,,18356,211,2,2,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/39689-97a31bc9dad55030.js,25,0,0
1753343781420,175,Grow-27,200,OK,Thread Group 1-3,text,true,,23118,211,2,2,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/19410-d41999478550d5e3.js,147,0,0
1753343781595,243,Grow-28,200,OK,Thread Group 1-3,text,true,,179357,211,2,2,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/94643-7087abfc362e9669.js,66,0,0
1753343781838,41,Grow-29,200,OK,Thread Group 1-3,text,true,,11704,211,2,2,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/75790-6b63c3e4284af492.js,41,0,0
1753343781879,422,Grow-30,200,OK,Thread Group 1-3,text,true,,17855,211,2,2,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/90382-b5f92fff7a8fc58b.js,420,0,0
1753343782302,116,Grow-31,200,OK,Thread Group 1-3,text,true,,16126,211,2,2,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/54773-d4e30f16c44bb669.js,116,0,0
1753343782419,304,Grow-32,200,OK,Thread Group 1-3,text,true,,89111,211,2,2,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/71262-dcb3069e91ab9890.js,141,0,0
1753343782723,35,Grow-33,200,OK,Thread Group 1-3,text,true,,19750,211,2,2,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/99443-750c8077db465049.js,33,0,0
1753343782759,200,Grow-34,200,OK,Thread Group 1-3,text,true,,50103,211,2,2,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/94884-d12dafbf7e08326d.js,97,0,0
1753343782960,175,Grow-35,200,OK,Thread Group 1-3,text,true,,56810,211,2,2,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/33585-9b1e7fc584dca694.js,33,0,0
1753343783136,185,Grow-36,200,OK,Thread Group 1-3,text,true,,91794,239,2,2,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/pages/mutual-funds/%5BsearchId%5D-3c9efdd2bc3ecc37.js,29,0,0
1753343783322,102,Grow-37,200,OK,Thread Group 1-3,text,true,,78276,218,2,2,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/eX38EL8pCEPr8MIphpsk7/_buildManifest.js,97,0,0
1753343783424,20,Grow-38,200,OK,Thread Group 1-3,text,true,,1434,216,2,2,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/eX38EL8pCEPr8MIphpsk7/_ssgManifest.js,20,0,0
1753343783444,143,Grow-39,200,OK,Thread Group 1-3,bin,true,,21033,160,2,2,https://assets-netstorage.groww.in/mf-assets/logos/canara_groww.png,143,0,0
1753343783590,8,Grow-40,200,OK,Thread Group 1-3,text,true,,1669,172,2,2,https://groww.in/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js,8,0,0
1753343779478,3845,Grow,200,OK,Thread Group 1-2,text,true,,3787395,8472,2,2,https://groww.in/mutual-funds/motilal-oswal-most-focused-midcap-30-fund-direct-growth,262,0,190
1753343779478,327,Grow-0,200,OK,Thread Group 1-2,text,true,,444693,178,2,2,https://groww.in/mutual-funds/motilal-oswal-most-focused-midcap-30-fund-direct-growth,262,0,190
1753343779840,20,Grow-1,200,OK,Thread Group 1-2,bin,true,,5296,132,2,2,https://groww.in/favicon32x32-groww.ico,20,0,0
1753343779860,222,Grow-2,200,OK,Thread Group 1-2,text,true,,109713,203,2,2,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/css/161459f0e2a48641.css,217,0,187
1753343780274,20,Grow-3,200,OK,Thread Group 1-2,text,true,,21394,203,2,2,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/css/4bb1f5903c32e712.css,19,0,0
